Linac Beam 
1.5000000000e-01 3.6000000000e+00 3.6000000000e+00 
1.6000000000e-01 3.6000000000e+00 3.6000000000e+00 
2.4000000000e-01 3.6000000000e+00 3.6000000000e+00 
2.5000000000e-01 3.6000000000e+00 3.6000000000e+00 
3.5000000000e-01 3.6000000000e+00 3.6000000000e+00 
3.6000000000e-01 3.6000000000e+00 3.6000000000e+00 
4.4000000000e-01 3.6000000000e+00 3.6000000000e+00 
4.5000000000e-01 3.6000000000e+00 3.6000000000e+00 
4.8000000000e-01 3.6000000000e+00 3.6000000000e+00 
5.7000000000e-01 3.6000000000e+00 3.6000000000e+00 
5.7000000000e-01 3.6000000000e+00 3.6000000000e+00 
6.6000000000e-01 3.6000000000e+00 3.6000000000e+00 
6.9000000000e-01 3.6000000000e+00 3.6000000000e+00 
7.0000000000e-01 3.6000000000e+00 3.6000000000e+00 
7.8000000000e-01 3.6000000000e+00 3.6000000000e+00 
7.9000000000e-01 3.6000000000e+00 3.6000000000e+00 
8.4000000000e-01 3.6000000000e+00 3.6000000000e+00 
8.4000000001e-01 3.6000000000e+00 3.6000000000e+00 
8.9000000001e-01 3.6000000000e+00 3.6000000000e+00 
9.4000000001e-01 3.6000000000e+00 3.6000000000e+00 
1.0125000000e+00 3.6000000000e+00 3.6000000000e+00 
1.2675000000e+00 3.6000000000e+00 3.6000000000e+00 
1.3400000000e+00 3.6000000000e+00 3.6000000000e+00 
1.3900000000e+00 3.6000000000e+00 3.6000000000e+00 
1.5960000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6360000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6400000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6450000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6500000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6550000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6600000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6650000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6700000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6750000000e+00 3.6000000000e+00 3.6000000000e+00 
